mol_id,raw_smiles,canonical_smiles,isomeric_smiles,inchi_key,skeleton_key,tautomer_family_key,molecular_weight,formal_charge,heavy_atom_count,status,message,no,cas,pLC50,exposure_type,effect,Literature,DOI,Type
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,Clc1ccc(Cl)c(Cl)c1Cl,Clc1ccc(Cl)c(Cl)c1Cl,GBDZXPJXOMHESU-UHFFFAOYSA-N,GBDZXPJXOMHESU,GBDZXPJXOMHESU-UHFFFAOYSA-N,215.894,0,10,success,ok,16,634-66-2,5.29,F,MOR,"Carlson,A.R., and P.A. Kosian, 1987. Toxicity of Chlorinated Benzenes to Fathead Minnows (Pimephales promelas). Arch. Environ. Contam. Toxicol.16(2): 129-135",10.1007/BF01055794,Benzenehalide
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,Clc1cc(Cl)c(Cl)c(Cl)c1,Clc1cc(Cl)c(Cl)c(Cl)c1,QZYNWJQFTJXIRN-UHFFFAOYSA-N,QZYNWJQFTJXIRN,QZYNWJQFTJXIRN-UHFFFAOYSA-N,215.894,0,10,success,ok,17,634-90-2,6.22,F,MOR,"Turner,L.W., 1982. Acute Toxicity of Selected Chemicals to Fathead Minnow, Water Flea and Mysid Shrimp Under Static and Flow-Through Test Conditions. Final Rep.Coop.Agreement 807479-01-0, U.S.EPA, Off.of Pestic.and Toxic Subst., Washington, DC:258 p.",,Benzenehalide
"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,Clc1cc(Cl)c(Cl)cc1Cl,Clc1cc(Cl)c(Cl)cc1Cl,JHBKHLUZVFWLAG-UHFFFAOYSA-N,JHBKHLUZVFWLAG,JHBKHLUZVFWLAG-UHFFFAOYSA-N,215.894,0,10,success,ok,18,95-94-3,5.83,F,MOR,"Brooke,L.T., 1991. Results of Freshwater Exposures with the Chemicals Atrazine, Biphenyl, Butachlor, Carbaryl, Carbazole, Dibenzofuran, 3,3'-Dichlorobenzidine, Dichlorvos, 1,2-Epoxyethylbenzene (Styrene Oxide), Isophorone, Isopropalin, Ox. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:110 p.",Structure‐activity relationships for Pimephales and Tetrahymena: A mechanism of action approach,Benzenehalide
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,Clc1ccc(Cl)c(Cl)c1,Clc1ccc(Cl)c(Cl)c1,PBKONEOXTCPAFI-UHFFFAOYSA-N,PBKONEOXTCPAFI,PBKONEOXTCPAFI-UHFFFAOYSA-N,181.449,0,9,success,ok,19,120-82-1,4.78,F,MOR,"Geiger,D.L., L.T. Brooke, and D.J. Call, 1990. Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:332 p.",Structure‐activity relationships for Pimephales and Tetrahymena: A mechanism of action approach,Benzenehalide
"1,2-Dibromobenzene",Brc1ccccc1Br,Brc1ccccc1Br,Brc1ccccc1Br,WQONPSCCEXUXTQ-UHFFFAOYSA-N,WQONPSCCEXUXTQ,WQONPSCCEXUXTQ-UHFFFAOYSA-N,235.90599999999998,0,8,success,ok,20,583-53-9,4.76,F,MOR,"Geiger,D.L., D.J. Call, and L.T. Brooke, 1988. Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas) Volume IV. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI4:355 p.",,Benzenehalide
"1,2-Dichlorobenzene",Clc1ccccc1Cl,Clc1ccccc1Cl,Clc1ccccc1Cl,RFFLAFLAYFXFSW-UHFFFAOYSA-N,RFFLAFLAYFXFSW,RFFLAFLAYFXFSW-UHFFFAOYSA-N,147.00399999999996,0,8,success,ok,21,95-50-1,4.19,F,MOR,"Geiger,D.L., S.H. Poirier, L.T. Brooke, and D.J. Call, 1986. Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas) Volume III. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:328 p.",Structure‐activity relationships for Pimephales and Tetrahymena: A mechanism of action approach,Benzenehalide
"1,3-Dichlorobenzene",Clc1cccc(Cl)c1,Clc1cccc(Cl)c1,Clc1cccc(Cl)c1,ZPQOPVIELGIULI-UHFFFAOYSA-N,ZPQOPVIELGIULI,ZPQOPVIELGIULI-UHFFFAOYSA-N,147.004,0,8,success,ok,22,541-73-1,4.26,F,MOR,"Geiger,D.L., S.H. Poirier, L.T. Brooke, and D.J. Call, 1986. Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas) Volume III. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:328 p.",,Benzenehalide
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,Brc1ccc(Br)cc1,Brc1ccc(Br)cc1,SWJPEBQEEAHIGZ-UHFFFAOYSA-N,SWJPEBQEEAHIGZ,SWJPEBQEEAHIGZ-UHFFFAOYSA-N,235.90599999999998,0,8,success,ok,23,106-37-6,5.28,R,MOR,"Sijm,D.T.H.M., M. Schipper, and A. Opperhuizen, 1993. Toxicokinetics of Halogenated Benzenes in Fish: Lethal Body Burden as a Toxicological End Point. Environ. Toxicol. Chem.12:1117-1127",10.1897/1552-8618(1993)12[1117:TOHBIF]2.0.CO;2,Benzenehalide
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,Clc1ccc(Cl)cc1,Clc1ccc(Cl)cc1,OCJBOOLMMGQPQU-UHFFFAOYSA-N,OCJBOOLMMGQPQU,OCJBOOLMMGQPQU-UHFFFAOYSA-N,147.00400000000002,0,8,success,ok,24,106-46-7,4.54,F,MOR,"Carlson,A.R., and P.A. Kosian, 1987. Toxicity of Chlorinated Benzenes to Fathead Minnows (Pimephales promelas). Arch. Environ. Contam. Toxicol.16(2): 129-135",10.1007/BF01055794,Benzenehalide
Bromobenzene,Brc1ccccc1,Brc1ccccc1,Brc1ccccc1,QARVLSVVCXYDNA-UHFFFAOYSA-N,QARVLSVVCXYDNA,QARVLSVVCXYDNA-UHFFFAOYSA-N,157.01,0,7,success,ok,25,108-86-1,4.44,F,MOR,"Marchini,S., M.D. Hoglund, S.J. Broderius, and M.L. Tosato, 1993. Comparison of the Susceptibility of Daphnids and Fish to Benzene Derivatives. Sci. Total Environ.Suppl.:799-808",Structure‐activity relationships for Pimephales and Tetrahymena: A mechanism of action approach,Benzenehalide
